2026-03-18 16:51:35,357 | INFO     | app | Models loaded successfully into memory
2026-03-18 16:51:35,357 | INFO     | app | Models loaded successfully into memory
2026-03-18 16:51:35,361 | INFO     | app | Models loaded successfully into memory
2026-03-18 16:51:35,373 | INFO     | app | Kafka consumer started and listening
2026-03-18 16:51:35,373 | INFO     | app | Kafka consumer started and listening
2026-03-18 16:51:35,373 | INFO     | app | Kafka consumer started and listening
2026-03-18 16:51:35,373 | INFO     | app | Kafka consumer started and listening
2026-03-18 16:55:47,159 | INFO     | app | Prediction endpoint hit
2026-03-18 16:55:47,159 | INFO     | app | Prediction endpoint hit
2026-03-18 16:55:47,159 | INFO     | app | Prediction endpoint hit
2026-03-18 16:55:47,159 | INFO     | app | Prediction endpoint hit
2026-03-18 16:55:47,160 | INFO     | app | Prediction endpoint hit
2026-03-18 16:55:47,160 | INFO     | app | Prediction endpoint hit
2026-03-18 16:55:47,160 | INFO     | app | Prediction endpoint hit
2026-03-18 16:55:47,160 | INFO     | app | Prediction endpoint hit
2026-03-18 16:55:47,176 | INFO     | app | Prediction endpoint hit
2026-03-18 16:55:47,179 | INFO     | app | Prediction endpoint hit
2026-03-18 16:55:47,238 | INFO     | app | Prediction successful
2026-03-18 16:55:47,238 | INFO     | app | Prediction successful
2026-03-18 16:55:47,239 | INFO     | app | Prediction successful
2026-03-18 16:55:47,239 | INFO     | app | Prediction successful
2026-03-18 16:55:47,252 | INFO     | app | Prediction successful
2026-03-18 16:55:47,252 | INFO     | app | Prediction successful
2026-03-18 16:55:47,253 | INFO     | app | Threshold reached. Publishing retrain event to Kafka.
2026-03-18 16:55:47,253 | INFO     | app | Prediction successful
2026-03-18 16:55:47,253 | INFO     | app | Threshold reached. Publishing retrain event to Kafka.
2026-03-18 16:55:47,253 | INFO     | app | Prediction successful
2026-03-18 16:55:47,254 | INFO     | app | Prediction successful
2026-03-18 16:55:47,254 | INFO     | app | Threshold reached. Publishing retrain event to Kafka.
2026-03-18 16:55:47,254 | INFO     | app | Threshold reached. Publishing retrain event to Kafka.
2026-03-18 16:55:47,254 | INFO     | app | Prediction successful
2026-03-18 16:55:47,255 | INFO     | app | Threshold reached. Publishing retrain event to Kafka.
2026-03-18 16:55:47,279 | INFO     | app | Received retrain event from Kafka
2026-03-18 16:55:47,279 | INFO     | app | Starting training process
2026-03-18 16:55:47,469 | INFO     | app | Model trained successfully
2026-03-18 16:55:47,502 | INFO     | app | Models saved to disk
2026-03-18 16:55:47,527 | INFO     | app | Models loaded successfully into memory
2026-03-18 16:55:47,529 | INFO     | app | Redis counter reset to 0 by background worker
2026-03-18 16:55:47,530 | INFO     | app | Received retrain event from Kafka
2026-03-18 16:55:47,530 | INFO     | app | Starting training process
2026-03-18 16:55:47,604 | INFO     | app | Model trained successfully
2026-03-18 16:55:47,637 | INFO     | app | Models saved to disk
2026-03-18 16:55:47,662 | INFO     | app | Models loaded successfully into memory
2026-03-18 16:55:47,663 | INFO     | app | Redis counter reset to 0 by background worker
2026-03-18 16:55:47,663 | INFO     | app | Received retrain event from Kafka
2026-03-18 16:55:47,663 | INFO     | app | Starting training process
2026-03-18 16:55:47,737 | INFO     | app | Model trained successfully
2026-03-18 16:55:47,769 | INFO     | app | Models saved to disk
2026-03-18 16:55:47,794 | INFO     | app | Models loaded successfully into memory
2026-03-18 16:55:47,795 | INFO     | app | Redis counter reset to 0 by background worker
2026-03-18 16:55:47,795 | INFO     | app | Received retrain event from Kafka
2026-03-18 16:55:47,795 | INFO     | app | Starting training process
2026-03-18 16:55:47,869 | INFO     | app | Model trained successfully
2026-03-18 16:55:47,902 | INFO     | app | Models saved to disk
2026-03-18 16:55:47,927 | INFO     | app | Models loaded successfully into memory
2026-03-18 16:55:47,927 | INFO     | app | Redis counter reset to 0 by background worker
2026-03-18 16:55:47,928 | INFO     | app | Received retrain event from Kafka
2026-03-18 16:55:47,928 | INFO     | app | Starting training process
2026-03-18 16:55:48,002 | INFO     | app | Model trained successfully
2026-03-18 16:55:48,034 | INFO     | app | Models saved to disk
2026-03-18 16:55:48,058 | INFO     | app | Models loaded successfully into memory
2026-03-18 16:55:48,059 | INFO     | app | Redis counter reset to 0 by background worker
2026-03-18 16:55:48,161 | INFO     | app | Prediction endpoint hit
2026-03-18 16:55:48,161 | INFO     | app | Prediction endpoint hit
2026-03-18 16:55:48,161 | INFO     | app | Prediction endpoint hit
2026-03-18 16:55:48,161 | INFO     | app | Prediction endpoint hit
2026-03-18 16:55:48,162 | INFO     | app | Prediction endpoint hit
2026-03-18 16:55:48,162 | INFO     | app | Prediction endpoint hit
2026-03-18 16:55:48,163 | INFO     | app | Prediction endpoint hit
2026-03-18 16:55:48,163 | INFO     | app | Prediction endpoint hit
2026-03-18 16:55:48,164 | INFO     | app | Prediction endpoint hit
2026-03-18 16:55:48,180 | INFO     | app | Prediction successful
2026-03-18 16:55:48,163 | INFO     | app | Prediction endpoint hit
2026-03-18 16:55:48,187 | INFO     | app | Prediction successful
2026-03-18 16:55:48,198 | INFO     | app | Prediction successful
2026-03-18 16:55:48,199 | INFO     | app | Prediction successful
2026-03-18 16:55:48,218 | INFO     | app | Prediction successful
2026-03-18 16:55:48,218 | INFO     | app | Prediction successful
2026-03-18 16:55:48,272 | INFO     | app | Prediction successful
2026-03-18 16:55:48,273 | INFO     | app | Prediction successful
2026-03-18 16:55:48,281 | INFO     | app | Prediction successful
2026-03-18 16:55:48,281 | INFO     | app | Threshold reached. Publishing retrain event to Kafka.
2026-03-18 16:55:48,282 | INFO     | app | Prediction successful
2026-03-18 16:55:48,282 | INFO     | app | Threshold reached. Publishing retrain event to Kafka.
2026-03-18 16:55:48,283 | INFO     | app | Prediction endpoint hit
2026-03-18 16:55:48,284 | INFO     | app | Received retrain event from Kafka
2026-03-18 16:55:48,284 | INFO     | app | Starting training process
2026-03-18 16:55:48,294 | INFO     | app | Prediction successful
2026-03-18 16:55:48,358 | INFO     | app | Model trained successfully
2026-03-18 16:55:48,375 | INFO     | app | Prediction endpoint hit
2026-03-18 16:55:48,390 | INFO     | app | Prediction successful
2026-03-18 16:55:48,392 | INFO     | app | Models saved to disk
2026-03-18 16:55:48,417 | INFO     | app | Models loaded successfully into memory
2026-03-18 16:55:48,418 | INFO     | app | Redis counter reset to 0 by background worker
2026-03-18 16:55:48,418 | INFO     | app | Received retrain event from Kafka
2026-03-18 16:55:48,418 | INFO     | app | Starting training process
2026-03-18 16:55:48,464 | INFO     | app | Prediction endpoint hit
2026-03-18 16:55:48,475 | INFO     | app | Prediction successful
2026-03-18 16:55:48,491 | INFO     | app | Model trained successfully
2026-03-18 16:55:48,524 | INFO     | app | Models saved to disk
2026-03-18 16:55:48,550 | INFO     | app | Models loaded successfully into memory
2026-03-18 16:55:48,550 | INFO     | app | Redis counter reset to 0 by background worker
2026-03-18 16:55:48,578 | INFO     | app | Prediction endpoint hit
2026-03-18 16:55:48,591 | INFO     | app | Prediction successful
2026-03-18 16:55:48,736 | INFO     | app | Prediction endpoint hit
2026-03-18 16:55:48,753 | INFO     | app | Prediction successful
2026-03-18 16:55:48,803 | INFO     | app | Prediction endpoint hit
2026-03-18 16:55:48,820 | INFO     | app | Prediction successful
2026-03-18 16:55:49,105 | INFO     | app | Prediction endpoint hit
2026-03-18 16:55:49,120 | INFO     | app | Prediction successful
2026-03-18 16:55:49,153 | INFO     | app | Prediction endpoint hit
2026-03-18 16:55:49,154 | INFO     | app | Prediction endpoint hit
2026-03-18 16:55:49,154 | INFO     | app | Prediction endpoint hit
2026-03-18 16:55:49,154 | INFO     | app | Prediction endpoint hit
2026-03-18 16:55:49,154 | INFO     | app | Prediction endpoint hit
2026-03-18 16:55:49,154 | INFO     | app | Prediction endpoint hit
2026-03-18 16:55:49,154 | INFO     | app | Prediction endpoint hit
2026-03-18 16:55:49,160 | INFO     | app | Prediction endpoint hit
2026-03-18 16:55:49,161 | INFO     | app | Prediction endpoint hit
2026-03-18 16:55:49,162 | INFO     | app | Prediction endpoint hit
2026-03-18 16:55:49,165 | INFO     | app | Prediction successful
2026-03-18 16:55:49,168 | INFO     | app | Prediction endpoint hit
2026-03-18 16:55:49,183 | INFO     | app | Prediction successful
2026-03-18 16:55:49,191 | INFO     | app | Prediction successful
2026-03-18 16:55:49,192 | INFO     | app | Prediction successful
2026-03-18 16:55:49,193 | INFO     | app | Prediction successful
2026-03-18 16:55:49,194 | INFO     | app | Prediction successful
2026-03-18 16:55:49,194 | INFO     | app | Threshold reached. Publishing retrain event to Kafka.
2026-03-18 16:55:49,196 | INFO     | app | Received retrain event from Kafka
2026-03-18 16:55:49,196 | INFO     | app | Starting training process
2026-03-18 16:55:49,203 | INFO     | app | Prediction endpoint hit
2026-03-18 16:55:49,215 | INFO     | app | Prediction successful
2026-03-18 16:55:49,239 | INFO     | app | Prediction endpoint hit
2026-03-18 16:55:49,274 | INFO     | app | Model trained successfully
2026-03-18 16:55:49,285 | INFO     | app | Prediction successful
2026-03-18 16:55:49,293 | INFO     | app | Prediction successful
2026-03-18 16:55:49,300 | INFO     | app | Prediction successful
2026-03-18 16:55:49,301 | INFO     | app | Prediction successful
2026-03-18 16:55:49,308 | INFO     | app | Models saved to disk
2026-03-18 16:55:49,310 | INFO     | app | Prediction successful
2026-03-18 16:55:49,310 | INFO     | app | Prediction successful
2026-03-18 16:55:49,319 | INFO     | app | Prediction endpoint hit
2026-03-18 16:55:49,339 | INFO     | app | Prediction successful
2026-03-18 16:55:49,350 | INFO     | app | Models loaded successfully into memory
2026-03-18 16:55:49,351 | INFO     | app | Redis counter reset to 0 by background worker
2026-03-18 16:55:49,379 | INFO     | app | Prediction endpoint hit
2026-03-18 16:55:49,397 | INFO     | app | Prediction successful
2026-03-18 16:55:49,439 | INFO     | app | Prediction endpoint hit
2026-03-18 16:55:49,452 | INFO     | app | Prediction successful
2026-03-18 16:55:49,520 | INFO     | app | Prediction endpoint hit
2026-03-18 16:55:49,532 | INFO     | app | Prediction successful
2026-03-18 16:55:49,594 | INFO     | app | Prediction endpoint hit
2026-03-18 16:55:49,604 | INFO     | app | Prediction endpoint hit
2026-03-18 16:55:49,606 | INFO     | app | Prediction successful
2026-03-18 16:55:49,615 | INFO     | app | Prediction successful
2026-03-18 16:55:49,660 | INFO     | app | Prediction endpoint hit
2026-03-18 16:55:49,671 | INFO     | app | Prediction successful
2026-03-18 16:55:49,708 | INFO     | app | Prediction endpoint hit
2026-03-18 16:55:49,719 | INFO     | app | Prediction successful
2026-03-18 16:55:49,753 | INFO     | app | Prediction endpoint hit
2026-03-18 16:55:49,771 | INFO     | app | Prediction successful
2026-03-18 16:55:49,829 | INFO     | app | Prediction endpoint hit
